collectionday,propnum,nextwaste,nextrecycle,nextgreen,address
Tuesday 1,2039226,31-07-2018,31-07-2018,07-08-2018,170 Cuthberts Road ALFREDTON  VIC  3350
Tuesday 1,2039227,31-07-2018,31-07-2018,07-08-2018,6 Dorset Drive ALFREDTON  VIC  3350
Monday 1,2039228,30-07-2018,30-07-2018,06-08-2018,7 Faversham Avenue LAKE GARDENS  VIC  3355
Monday 1,2039229,30-07-2018,30-07-2018,06-08-2018,15 Faversham Avenue LAKE GARDENS  VIC  3355
Monday 1,2039230,30-07-2018,30-07-2018,06-08-2018,5 Faversham Avenue LAKE GARDENS  VIC  3355
Monday 1,2039231,30-07-2018,30-07-2018,06-08-2018,8 Faversham Avenue LAKE GARDENS  VIC  3355
Monday 1,2039232,30-07-2018,30-07-2018,06-08-2018,26 Faversham Avenue LAKE GARDENS  VIC  3355
Thursday 2,2039233,26-07-2018,26-07-2018,,2/130 Humffray Street North BALLARAT EAST  VIC  3350
Thursday 2,2039234,26-07-2018,26-07-2018,,3/130 Humffray Street North BALLARAT EAST  VIC  3350
Wednesday 2,2039235,01-08-2018,08-08-2018,,10 Caledonian Place WARRENHEIP  VIC  3352
Wednesday 2,2039236,01-08-2018,08-08-2018,01-08-2018,36 Kerry Way INVERMAY PARK  VIC  3350
Wednesday 2,2039237,01-08-2018,08-08-2018,01-08-2018,14 Kerry Way INVERMAY PARK  VIC  3350
Wednesday 2,2039238,01-08-2018,08-08-2018,01-08-2018,48 Kerry Way INVERMAY PARK  VIC  3350
Wednesday 2,2039239,01-08-2018,08-08-2018,01-08-2018,40 Kerry Way INVERMAY PARK  VIC  3350
Wednesday 2,2039240,01-08-2018,08-08-2018,01-08-2018,46 Kerry Way INVERMAY PARK  VIC  3350
Wednesday 2,2039241,01-08-2018,08-08-2018,01-08-2018,38 Kerry Way INVERMAY PARK  VIC  3350
Tuesday 1,2039243,31-07-2018,31-07-2018,07-08-2018,12 Lawrie Drive ALFREDTON  VIC  3350
Tuesday 1,2039244,31-07-2018,31-07-2018,07-08-2018,14 Lawrie Drive ALFREDTON  VIC  3350
Tuesday 1,2039245,31-07-2018,31-07-2018,07-08-2018,33 Lawrie Drive ALFREDTON  VIC  3350
Tuesday 1,2039247,01-08-2018,31-07-2018,07-08-2018,2 Parkmore Place INVERMAY PARK  VIC  3350
Wednesday 2,2039248,01-08-2018,08-08-2018,01-08-2018,8 Pinewood Drive BALLARAT NORTH  VIC  3350
Wednesday 2,2039249,01-08-2018,08-08-2018,01-08-2018,6 Philippa Court INVERMAY PARK  VIC  3350
Thursday 2,2039250,26-07-2018,26-07-2018,02-08-2018,27 Ford Street EUREKA  VIC  3350
Monday 2,2039251,30-07-2018,06-08-2018,30-07-2018,12 Raglan Street MINERS REST  VIC  3352
